dataset,seed,proposed,baseline,metric,diff_mean,ci_low,ci_high
cmapss_fd003,4,full,tcn,f2,0.006860666078914,-0.0272018715102783,0.0354584201853692
cmapss_fd003,4,full,tcn,auc_roc,-0.0040186691638648,-0.0131583852720606,0.0002527363547523
cmapss_fd003,4,full,tcn,auc_pr,-0.0332258626675791,-0.0810359251054616,0.0030709388293988
cmapss_fd003,4,full,timesnet,f2,-0.0180924821377977,-0.0658809257185516,0.0194666480758129
cmapss_fd003,4,full,timesnet,auc_roc,-0.004280421911345,-0.0134782363893771,1.2081324184696023e-05
cmapss_fd003,4,full,timesnet,auc_pr,-0.0362189659586742,-0.0793136828862073,8.910281441605631e-05
cmapss_fd003,4,proposed_lite,lstm,f2,-0.0140810254673812,-0.0488834201038003,0.014857230945247
cmapss_fd003,4,proposed_lite,lstm,auc_roc,0.000606676939539,-0.0016072502963643,0.0038696166138454
cmapss_fd003,4,proposed_lite,lstm,auc_pr,-0.0219807316009996,-0.0743743591467175,0.0254081856127382
cmapss_fd003,4,proposed_lite,tcn,f2,-0.0129743543271991,-0.0482774659053991,0.0180940048594236
cmapss_fd003,4,proposed_lite,tcn,auc_roc,-0.0019968380461546,-0.0039349933329116,-0.0005360217025006
cmapss_fd003,4,proposed_lite,tcn,auc_pr,-0.0642596479900177,-0.1175605527320814,-0.0256709837742999
cmapss_fd003,4,proposed_lite,timesnet,f2,-0.037927502543911,-0.0774067248946792,-0.0046823577468837
cmapss_fd003,4,proposed_lite,timesnet,auc_roc,-0.0022585907936348,-0.0042787478743412,-0.0007591099887854
cmapss_fd003,4,proposed_lite,timesnet,auc_pr,-0.0672527512811127,-0.1132303895985775,-0.0308883598823478
cmapss_fd003,5,full,lstm,f2,-0.0203028303244937,-0.0490374868632796,0.0047944039392388
cmapss_fd003,5,full,lstm,auc_roc,-0.0024314776320566,-0.0081170864604718,0.0010273776091129
cmapss_fd003,5,full,lstm,auc_pr,-0.0024530253578405,-0.0491664483383874,0.0618937927631599
cmapss_fd003,5,full,tcn,f2,0.023946679797223,-0.0077884302674767,0.0641312427943591
cmapss_fd003,5,full,tcn,auc_roc,-0.0012966625957904,-0.0048834405203823,0.0006658925658765
cmapss_fd003,5,full,tcn,auc_pr,-0.0016631559405137,-0.0226750731265867,0.0266400342753808
cmapss_fd003,5,full,timesnet,f2,-0.0306762755501925,-0.0788720316341674,0.0119069164924748
cmapss_fd003,5,full,timesnet,auc_roc,-0.003210844118413,-0.0091382830582847,4.795161071398106e-05
cmapss_fd003,5,full,timesnet,auc_pr,-0.0375948916712271,-0.071620171764953,0.0019563397160625
cmapss_fd003,5,proposed_lite,lstm,f2,-0.0580513536423532,-0.1096882830314766,-0.0196121168189389
cmapss_fd003,5,proposed_lite,lstm,auc_roc,-0.0092105616704207,-0.0293784305179002,0.0009254024540343
cmapss_fd003,5,proposed_lite,lstm,auc_pr,-0.0110247564425991,-0.078019248395747,0.0565052745483105
cmapss_fd003,5,proposed_lite,tcn,f2,-0.0138018435206364,-0.0683956981985842,0.0359511158174144
cmapss_fd003,5,proposed_lite,tcn,auc_roc,-0.0080757466341544,-0.026182619911823,0.0009685041865025
cmapss_fd003,5,proposed_lite,tcn,auc_pr,-0.0102348870252723,-0.0601911152334659,0.0408647103610704
cmapss_fd003,5,proposed_lite,timesnet,f2,-0.0684247988680519,-0.139918361399435,-0.0133838487071678
cmapss_fd003,5,proposed_lite,timesnet,auc_roc,-0.0099899281567771,-0.0304600277300294,0.0001639044625437
cmapss_fd003,5,proposed_lite,timesnet,auc_pr,-0.0461666227559857,-0.1091996603802811,0.0069535211325984
xjtu,1,full,lstm,f2,-0.0544757557794303,-0.1284243379053393,-0.0021859356897719
xjtu,1,full,lstm,auc_roc,-0.1116748550131815,-0.2992727561746179,0.0416721468284807
xjtu,1,full,lstm,auc_pr,-0.143956716145131,-0.4281408586494289,0.0158309521969738
xjtu,1,full,tcn,f2,-0.1190188050065207,-0.2606264872019267,-0.030988461185839
xjtu,1,full,tcn,auc_roc,-0.1069203562276402,-0.3948685857321651,0.0894065489616551
xjtu,1,full,tcn,auc_pr,-0.3769737537408489,-0.5675564764656205,0.0151125031489773
xjtu,1,full,timesnet,f2,-0.131286641542814,-0.287502119961558,-0.0385216777037269
xjtu,1,full,timesnet,auc_roc,-0.1238621401414892,-0.4583854818523153,-0.0446523584623662
xjtu,1,full,timesnet,auc_pr,-0.1816834244604876,-0.5225880985826348,0.0496757026109636
xjtu,1,proposed_lite,lstm,f2,-0.045243177142572,-0.0891561268919759,-0.0095522209660791
xjtu,1,proposed_lite,lstm,auc_roc,-0.0832116159542247,-0.386093178813098,0.202836731033658
xjtu,1,proposed_lite,lstm,auc_pr,0.037538822652119,-0.2442409829093896,0.4912994085985698
xjtu,1,proposed_lite,tcn,f2,-0.1097862263696623,-0.2213582761885633,-0.0388830165886489
xjtu,1,proposed_lite,tcn,auc_roc,-0.0784571171686834,-0.2779411764705882,-0.011758102012836
xjtu,1,proposed_lite,tcn,auc_pr,-0.1954782149435988,-0.3086871492715415,-0.0342292597838406
xjtu,1,proposed_lite,timesnet,f2,-0.1220540629059557,-0.2482339089481946,-0.0475492539731059
xjtu,1,proposed_lite,timesnet,auc_roc,-0.0953989010825324,-0.3547794117647058,0.116512225742811
xjtu,1,proposed_lite,timesnet,auc_pr,-0.0001878856632375,-0.3471058091429728,0.4099765758720392
xjtu,2,full,lstm,f2,0.5114691042855684,0.1531710950276064,0.7800687285223368
xjtu,2,full,lstm,auc_roc,0.070105102686403,-0.0502465780998389,0.3015160022459293
xjtu,2,full,lstm,auc_pr,0.2032289210570079,-0.1012976716676187,0.5150905782087861
xjtu,2,full,tcn,f2,0.0270758006354354,-0.2181430636915143,0.2013467886632595
xjtu,2,full,tcn,auc_roc,-0.0507807861105519,-0.2409261576971213,0.0178113090145446
xjtu,2,full,tcn,auc_pr,-0.1397884711999456,-0.3436136891025944,0.0056898622732384
xjtu,2,full,timesnet,f2,-0.1352273095476347,-0.338231739396266,0.0012328752276077
xjtu,2,full,timesnet,auc_roc,-0.0537346770854678,-0.2359198998748435,0.1427302134542127
xjtu,2,full,timesnet,auc_pr,0.0831089493502214,-0.2591594800002966,0.4359599192621584
xjtu,2,proposed_lite,lstm,f2,0.5192416049543813,0.1800119149210234,0.7726931732933233
xjtu,2,proposed_lite,lstm,auc_roc,0.0744831189042496,-0.0858786125102705,0.3575394597292408
xjtu,2,proposed_lite,lstm,auc_pr,0.2579569819005553,-0.0939497090211806,0.6057927926212683
xjtu,2,proposed_lite,tcn,f2,0.0348483013042482,-0.215311004784689,0.192552860287387
xjtu,2,proposed_lite,tcn,auc_roc,-0.0464027698927053,-0.221839799749687,0.0385941390538211
xjtu,2,proposed_lite,tcn,auc_pr,-0.0850604103563982,-0.3158758913307146,0.0803232959818944
xjtu,2,proposed_lite,timesnet,f2,-0.1274548088788219,-0.3113909195028491,-0.0024536238136323
xjtu,2,proposed_lite,timesnet,auc_roc,-0.0493566608676212,-0.2176258350301861,0.1661825108004001
xjtu,2,proposed_lite,timesnet,auc_pr,0.1378370101937688,-0.2314216822284169,0.4852810725068553
xjtu,3,full,lstm,f2,-0.0671876268875438,-0.1969162002779551,0.0155645606925769
xjtu,3,full,lstm,auc_roc,-0.0183869848042396,-0.1453488372093023,0.1076345431789738
xjtu,3,full,lstm,auc_pr,0.091814175701917,-0.0771416131568218,0.3057565831957825
xjtu,3,full,tcn,f2,-0.1232517907120738,-0.3307840807840807,-0.0565674964582068
xjtu,3,full,tcn,auc_roc,-0.0361959479980361,-0.109751541191855,0.0105211914081904
xjtu,3,full,tcn,auc_pr,-0.0747246191549097,-0.1503081303090563,0.0307358172033667
xjtu,3,full,timesnet,f2,-0.118207602951251,-0.3494771601541002,0.033851561097001
xjtu,3,full,timesnet,auc_roc,-0.0061490029393374,-0.1637998785410638,0.1882716049382716
xjtu,3,full,timesnet,auc_pr,0.2216229495157033,-0.038941989044865,0.5208976697733582
xjtu,3,proposed_lite,lstm,f2,-0.0654747864169484,-0.1674304369964357,0.0047194641593
xjtu,3,proposed_lite,lstm,auc_roc,-0.0293789958622094,-0.1448432760364003,0.0746167412834077
