dataset,model_type,seed,method,fraction,k,drop_pos,drop_all_abs
ur3,full,3,random,0.4,4,0.013073506765067577,0.21210484206676483
ur3,full,3,high,0.5,5,0.061771150678396225,0.19121938943862915
ur3,full,3,low,0.5,5,-0.016368364915251732,0.3078927993774414
ur3,full,3,random,0.5,5,0.015159008093178272,0.2548123300075531
ur3,full,3,high,0.6,6,0.08354271203279495,0.2422330528497696
ur3,full,3,low,0.6,6,0.006204373203217983,0.3610835373401642
ur3,full,3,random,0.6,6,0.031867608428001404,0.287950336933136
ur3,full,3,high,0.7,7,0.07932762056589127,0.27540141344070435
ur3,full,3,low,0.7,7,0.007956849411129951,0.403832346200943
ur3,full,3,random,0.7,7,0.0028255865909159184,0.30659782886505127
ur3,full,3,high,0.8,8,0.0668305903673172,0.3061571717262268
ur3,full,3,low,0.8,8,-0.007035582792013884,0.42820531129837036
ur3,full,3,random,0.8,8,0.004685812164098024,0.3600590229034424
ur3,full,3,high,0.9,9,0.04711155965924263,0.34093621373176575
ur3,full,3,low,0.9,9,-0.03859545290470123,0.4348413050174713
ur3,full,3,random,0.9,9,-0.010721894912421703,0.3800044357776642
ur3,full,3,high,1.0,10,-0.04440310597419739,0.4317103326320648
ur3,full,3,low,1.0,10,-0.04440310597419739,0.4317103326320648
ur3,full,3,random,1.0,10,-0.04440310597419739,0.4317103326320648
ur3,full,3,randomized_attn,0.1,1,0.00039882646524347365,0.058017466217279434
ur3,full,3,randomized_attn,0.2,2,0.004568013828247786,0.08719562739133835
ur3,full,3,randomized_attn,0.3,3,0.0018029154743999243,0.11360122263431549
ur3,full,3,randomized_attn,0.4,4,-0.002518394496291876,0.13695120811462402
ur3,full,3,randomized_attn,0.5,5,-0.01351014431566,0.15905672311782837
ur3,full,3,randomized_attn,0.6,6,-0.004313045646995306,0.1885116994380951
ur3,full,3,randomized_attn,0.7,7,0.003756915219128132,0.22471286356449127
ur3,full,3,randomized_attn,0.8,8,0.00840350054204464,0.2663702964782715
ur3,full,3,randomized_attn,0.9,9,0.03211132436990738,0.3457111418247223
ur3,full,3,randomized_attn,1.0,10,-0.04440310597419739,0.4317103326320648
