dataset,model,miss_cost,fp_cost,missed,false_alarms,total_cost
xjtu,matched_tcn,10,5.0,0,0,0.0
xjtu,full_mc,10,5.0,0,0,2.0
xjtu,lite_mc,10,5.0,0,0,2.0
xjtu,lite_no_attn_mc,10,5.0,0,0,0.0
xjtu,lite_no_mc,10,5.0,0,0,2.0
xjtu,matched_tcn,50,0.5,0,0,0.0
xjtu,full_mc,50,0.5,0,0,2.0
xjtu,lite_mc,50,0.5,0,0,2.0
xjtu,lite_no_attn_mc,50,0.5,0,0,0.0
xjtu,lite_no_mc,50,0.5,0,0,2.0
xjtu,matched_tcn,50,1.0,0,0,0.0
xjtu,full_mc,50,1.0,0,0,2.0
xjtu,lite_mc,50,1.0,0,0,2.0
xjtu,lite_no_attn_mc,50,1.0,0,0,0.0
xjtu,lite_no_mc,50,1.0,0,0,2.0
xjtu,matched_tcn,50,2.0,0,0,0.0
xjtu,full_mc,50,2.0,0,0,2.0
xjtu,lite_mc,50,2.0,0,0,2.0
xjtu,lite_no_attn_mc,50,2.0,0,0,0.0
xjtu,lite_no_mc,50,2.0,0,0,2.0
xjtu,matched_tcn,50,5.0,0,0,0.0
xjtu,full_mc,50,5.0,0,0,2.0
xjtu,lite_mc,50,5.0,0,0,2.0
xjtu,lite_no_attn_mc,50,5.0,0,0,0.0
xjtu,lite_no_mc,50,5.0,0,0,2.0
xjtu,matched_tcn,100,0.5,0,0,0.0
xjtu,full_mc,100,0.5,0,0,2.0
xjtu,lite_mc,100,0.5,0,0,2.0
xjtu,lite_no_attn_mc,100,0.5,0,0,0.0
xjtu,lite_no_mc,100,0.5,0,0,2.0
xjtu,matched_tcn,100,1.0,0,0,0.0
xjtu,full_mc,100,1.0,0,0,2.0
xjtu,lite_mc,100,1.0,0,0,2.0
xjtu,lite_no_attn_mc,100,1.0,0,0,0.0
xjtu,lite_no_mc,100,1.0,0,0,2.0
xjtu,matched_tcn,100,2.0,0,0,0.0
xjtu,full_mc,100,2.0,0,0,2.0
xjtu,lite_mc,100,2.0,0,0,2.0
xjtu,lite_no_attn_mc,100,2.0,0,0,0.0
xjtu,lite_no_mc,100,2.0,0,0,2.0
xjtu,matched_tcn,100,5.0,0,0,0.0
xjtu,full_mc,100,5.0,0,0,2.0
xjtu,lite_mc,100,5.0,0,0,2.0
xjtu,lite_no_attn_mc,100,5.0,0,0,0.0
xjtu,lite_no_mc,100,5.0,0,0,2.0
xjtu,matched_tcn,500,0.5,0,0,0.0
xjtu,full_mc,500,0.5,0,0,2.0
xjtu,lite_mc,500,0.5,0,0,2.0
xjtu,lite_no_attn_mc,500,0.5,0,0,0.0
xjtu,lite_no_mc,500,0.5,0,0,2.0
xjtu,matched_tcn,500,1.0,0,0,0.0
xjtu,full_mc,500,1.0,0,0,2.0
xjtu,lite_mc,500,1.0,0,0,2.0
xjtu,lite_no_attn_mc,500,1.0,0,0,0.0
xjtu,lite_no_mc,500,1.0,0,0,2.0
xjtu,matched_tcn,500,2.0,0,0,0.0
xjtu,full_mc,500,2.0,0,0,2.0
xjtu,lite_mc,500,2.0,0,0,2.0
xjtu,lite_no_attn_mc,500,2.0,0,0,0.0
