dataset,miss_cost,fp_cost,explain_cost,best_models,best_cost
ur3,500,0.5,5.0,matched_tcn+lite_no_attn_mc,3.0
ur3,500,1.0,0.0,matched_tcn+lite_no_attn_mc,6.0
ur3,500,1.0,0.25,matched_tcn+lite_no_attn_mc,6.0
ur3,500,1.0,0.5,matched_tcn+lite_no_attn_mc,6.0
ur3,500,1.0,1.0,matched_tcn+lite_no_attn_mc,6.0
ur3,500,1.0,2.0,matched_tcn+lite_no_attn_mc,6.0
ur3,500,1.0,5.0,matched_tcn+lite_no_attn_mc,6.0
ur3,500,2.0,0.0,matched_tcn+lite_no_attn_mc,12.0
ur3,500,2.0,0.25,matched_tcn+lite_no_attn_mc,12.0
ur3,500,2.0,0.5,matched_tcn+lite_no_attn_mc,12.0
ur3,500,2.0,1.0,matched_tcn+lite_no_attn_mc,12.0
ur3,500,2.0,2.0,matched_tcn+lite_no_attn_mc,12.0
ur3,500,2.0,5.0,matched_tcn+lite_no_attn_mc,12.0
ur3,500,5.0,0.0,matched_tcn+lite_no_attn_mc,30.0
ur3,500,5.0,0.25,matched_tcn+lite_no_attn_mc,30.0
ur3,500,5.0,0.5,matched_tcn+lite_no_attn_mc,30.0
ur3,500,5.0,1.0,matched_tcn+lite_no_attn_mc,30.0
ur3,500,5.0,2.0,matched_tcn+lite_no_attn_mc,30.0
ur3,500,5.0,5.0,matched_tcn+lite_no_attn_mc,30.0
ur3,1000,0.5,0.0,matched_tcn+lite_no_attn_mc,3.0
ur3,1000,0.5,0.25,matched_tcn+lite_no_attn_mc,3.0
ur3,1000,0.5,0.5,matched_tcn+lite_no_attn_mc,3.0
ur3,1000,0.5,1.0,matched_tcn+lite_no_attn_mc,3.0
ur3,1000,0.5,2.0,matched_tcn+lite_no_attn_mc,3.0
ur3,1000,0.5,5.0,matched_tcn+lite_no_attn_mc,3.0
ur3,1000,1.0,0.0,matched_tcn+lite_no_attn_mc,6.0
ur3,1000,1.0,0.25,matched_tcn+lite_no_attn_mc,6.0
ur3,1000,1.0,0.5,matched_tcn+lite_no_attn_mc,6.0
ur3,1000,1.0,1.0,matched_tcn+lite_no_attn_mc,6.0
ur3,1000,1.0,2.0,matched_tcn+lite_no_attn_mc,6.0
ur3,1000,1.0,5.0,matched_tcn+lite_no_attn_mc,6.0
ur3,1000,2.0,0.0,matched_tcn+lite_no_attn_mc,12.0
ur3,1000,2.0,0.25,matched_tcn+lite_no_attn_mc,12.0
ur3,1000,2.0,0.5,matched_tcn+lite_no_attn_mc,12.0
ur3,1000,2.0,1.0,matched_tcn+lite_no_attn_mc,12.0
ur3,1000,2.0,2.0,matched_tcn+lite_no_attn_mc,12.0
ur3,1000,2.0,5.0,matched_tcn+lite_no_attn_mc,12.0
ur3,1000,5.0,0.0,matched_tcn+lite_no_attn_mc,30.0
ur3,1000,5.0,0.25,matched_tcn+lite_no_attn_mc,30.0
ur3,1000,5.0,0.5,matched_tcn+lite_no_attn_mc,30.0
ur3,1000,5.0,1.0,matched_tcn+lite_no_attn_mc,30.0
ur3,1000,5.0,2.0,matched_tcn+lite_no_attn_mc,30.0
ur3,1000,5.0,5.0,matched_tcn+lite_no_attn_mc,30.0
xjtu,10,0.5,0.0,matched_tcn+full_mc+lite_mc+lite_no_attn_mc+lite_no_mc,0.0
xjtu,10,0.5,0.25,matched_tcn+lite_no_attn_mc,0.0
xjtu,10,0.5,0.5,matched_tcn+lite_no_attn_mc,0.0
xjtu,10,0.5,1.0,matched_tcn+lite_no_attn_mc,0.0
xjtu,10,0.5,2.0,matched_tcn+lite_no_attn_mc,0.0
xjtu,10,0.5,5.0,matched_tcn+lite_no_attn_mc,0.0
xjtu,10,1.0,0.0,matched_tcn+full_mc+lite_mc+lite_no_attn_mc+lite_no_mc,0.0
xjtu,10,1.0,0.25,matched_tcn+lite_no_attn_mc,0.0
xjtu,10,1.0,0.5,matched_tcn+lite_no_attn_mc,0.0
xjtu,10,1.0,1.0,matched_tcn+lite_no_attn_mc,0.0
xjtu,10,1.0,2.0,matched_tcn+lite_no_attn_mc,0.0
xjtu,10,1.0,5.0,matched_tcn+lite_no_attn_mc,0.0
