dataset,seed,pooling,threshold,n,pos,neg,accuracy,precision,recall,f1,f2,auc_roc,auc_pr,brier,ece
xjtu,2,terminal_state,0.8400000000000001,800,177,623,0.7375,0.43529411764705883,0.6271186440677966,0.5138888888888888,0.5763239875389408,0.7257302463929773,0.44366765532873464,0.20948529244987968,0.16768170211464167
xjtu,3,learned_attention,0.88,800,177,623,0.71625,0.40601503759398494,0.6101694915254238,0.48758465011286684,0.5544147843942505,0.6840873847158364,0.45521872064815505,0.24589938132508837,0.22406844960525632
xjtu,3,uniform_mean,0.93,800,177,623,0.73375,0.4256198347107438,0.5819209039548022,0.4916467780429594,0.5421052631578948,0.6865268293567663,0.4855312559747051,0.26431693406879253,0.24732832062058147
xjtu,3,terminal_state,0.91,800,177,623,0.7325,0.4359861591695502,0.711864406779661,0.5407725321888412,0.6318956870611836,0.6919679698198077,0.3762997342437041,0.2327391918441211,0.2213194081373513
xjtu,4,learned_attention,0.85,800,177,623,0.7175,0.4121863799283154,0.6497175141242938,0.5043859649122807,0.5825734549138805,0.8056878054973655,0.48678425546288545,0.23295247039774733,0.2309747622848954
xjtu,4,uniform_mean,0.85,800,177,623,0.71875,0.4117647058823529,0.632768361581921,0.49888641425389757,0.5714285714285714,0.723712490137933,0.4096852157396741,0.24569333233218382,0.2534459787537344
xjtu,4,terminal_state,0.81,800,177,623,0.69,0.39009287925696595,0.711864406779661,0.504,0.6110572259941804,0.7218488995293413,0.3290401190588289,0.25262786858298725,0.24084175674710423
xjtu,5,learned_attention,0.8400000000000001,800,177,623,0.71375,0.4015151515151515,0.5988700564971752,0.48072562358276644,0.5452674897119342,0.6774129190811728,0.4492762040487744,0.23411320839814187,0.17861653425730764
xjtu,5,uniform_mean,0.85,800,177,623,0.71125,0.39615384615384613,0.5819209039548022,0.47139588100686497,0.5320247933884298,0.6766828994023814,0.5189610495986582,0.23302545796573035,0.20791067604906857
xjtu,5,terminal_state,0.87,800,177,623,0.67,0.3685800604229607,0.6892655367231638,0.48031496062992124,0.5871029836381135,0.6823824940374169,0.3675645197714688,0.2702918557649042,0.2321703145746142
ur3,1,learned_attention,0.27,1128,329,799,0.625886524822695,0.43366619115549215,0.9240121580547113,0.5902912621359223,0.7535944471988101,0.8453728254543103,0.7627459902011487,0.17238113929015625,0.1632363603760799
ur3,1,uniform_mean,0.34,1128,329,799,0.6560283687943262,0.451559934318555,0.8358662613981763,0.5863539445628998,0.7142857142857143,0.8465825442897847,0.782444326555306,0.18146033825330218,0.16696819507497104
ur3,1,terminal_state,0.31,1128,329,799,0.6959219858156028,0.4885245901639344,0.9057750759878419,0.6347177848775293,0.7736240913811008,0.8744174899475408,0.8031548250209417,0.15879962873708228,0.14525246989734944
ur3,2,learned_attention,0.17,1128,329,799,0.6462765957446809,0.4420529801324503,0.8115501519756839,0.572347266881029,0.6953125,0.8083128226392413,0.711725290960494,0.17343711093410283,0.12207231355883869
ur3,2,uniform_mean,0.26,1128,329,799,0.6657801418439716,0.460655737704918,0.8541033434650456,0.5985090521831736,0.729491173416407,0.8429648002252056,0.7601075983529342,0.191089666588668,0.1803627064656334
ur3,2,terminal_state,0.13,1128,329,799,0.6418439716312057,0.445095168374817,0.9240121580547113,0.6007905138339921,0.7603801900950475,0.8449543692533599,0.7526962130767305,0.16281265245065216,0.10398055389787711
ur3,3,learned_attention,0.09999999999999999,1128,329,799,0.5824468085106383,0.40706806282722513,0.9452887537993921,0.5690759377859104,0.7475961538461539,0.8642756332954187,0.7987465649134997,0.15277788919219665,0.12094672804975763
ur3,3,uniform_mean,0.060000000000000005,1128,329,799,0.5310283687943262,0.3812351543942993,0.9756838905775076,0.5482493595217762,0.7437442075996293,0.8606350643471513,0.7886537551354811,0.14905209046261564,0.11208339366427761
ur3,3,terminal_state,0.22,1128,329,799,0.6648936170212766,0.46153846153846156,0.8936170212765957,0.6086956521739131,0.7526881720430108,0.8474118483971225,0.7688551754932194,0.17831064724638207,0.14709026733717173
ur3,4,learned_attention,0.23,1128,329,799,0.45478723404255317,0.3468950749464668,0.9848024316109423,0.5130641330166271,0.72,0.8002632469918705,0.7048208577002144,0.21645777367191552,0.24108039352593688
ur3,4,uniform_mean,0.23,1128,329,799,0.40425531914893614,0.32763819095477387,0.9908814589665653,0.49244712990936557,0.7053223712678495,0.7943211689383765,0.69339234309251,0.2258400560010985,0.2552423446921381
ur3,4,terminal_state,0.25,1128,329,799,0.6303191489361702,0.4343283582089552,0.8844984802431611,0.5825825825825826,0.7326283987915407,0.8421963624743696,0.7855231621386936,0.16572313910574113,0.15661431937511508
ur3,5,learned_attention,0.7100000000000001,1128,329,799,0.7473404255319149,0.5526315789473685,0.7021276595744681,0.6184738955823293,0.6660899653979239,0.8308600035758985,0.7650123058114713,0.22147248441006448,0.21852339019153455
ur3,5,uniform_mean,0.15000000000000002,1128,329,799,0.5398936170212766,0.3806532663316583,0.9209726443768997,0.5386666666666666,0.7173295454545454,0.8321610219461256,0.7579976113384174,0.18258414284232255,0.1616202656192877
ur3,5,terminal_state,0.15000000000000002,1128,329,799,0.6941489361702128,0.48697068403908794,0.9088145896656535,0.6341463414634146,0.7746113989637305,0.8788417132357698,0.8149799144573027,0.13702891357450195,0.10245941181052873
