dataset,model,method,threshold,f2,auc_roc,auc_pr,brier,ece,coverage
ur3,proposed_lite,MC-reject 10%+temp,0.18000000000000002,0.7678197064989518,0.8677096860438469,0.7966675009718576,0.1703431808086821,0.177951594013702,0.8803191489361702
ur3,proposed_lite,MC-reject 20%,0.19,0.8032786885245902,0.9040019208089995,0.8504356611879368,0.15505390058046736,0.17009935146289887,0.7163120567375887
ur3,proposed_lite,MC-reject 20%+temp,0.2,0.8068783068783069,0.9040019208089995,0.8504356611879368,0.1553597815201313,0.17018997514306913,0.7163120567375887
ur3,proposed_lite,MC-reject 30%,0.19,0.8433734939759037,0.9230021516741536,0.8827119078360204,0.13720714393202393,0.14975964355207708,0.6072695035460993
ur3,proposed_lite,MC-reject 30%+temp,0.18000000000000002,0.8421052631578947,0.9230021516741536,0.8827119078360204,0.13791145350783252,0.14674544667240474,0.6072695035460993
cmapss_fd001,full,raw,0.39,0.8657534246575342,0.9955258992173072,0.8914111174819223,0.011428350593961337,0.013741899075147522,1.0
cmapss_fd001,full,temperature (T=1.03),0.39,0.8652792990142387,0.9955258992173072,0.8914111174819224,0.011410061823822924,0.014193821665886628,1.0
cmapss_fd001,full,isotonic,0.14,0.8652792990142387,0.9928795168508585,0.8681852611231976,0.009236864519851092,0.003952438254152775,1.0
cmapss_fd001,full,MC-reject 10%,0.15000000000000002,0.9560975609756097,0.998602517042475,0.9585200115476199,0.00295930688230038,0.004607191668157516,0.9547861906630051
cmapss_fd001,full,MC-reject 10%+temp,0.13,0.9560975609756097,0.998602517042475,0.9585200115476199,0.0029906437445916764,0.003724189381663791,0.9547861906630051
cmapss_fd001,full,MC-reject 20%,0.03,0.975609756097561,0.9983971386076423,0.9819888845223117,0.000220971326303662,0.0021981994886739087,0.9196743821106316
cmapss_fd001,full,MC-reject 20%+temp,0.01,0.975609756097561,0.9983971386076423,0.9819888845223117,0.0002132878318245478,0.0002132878200062988,0.9196743821106316
cmapss_fd001,full,MC-reject 30%,0.01,0.9375,0.9954189730864669,0.9249253519124128,0.00011804879615944574,0.0018777955349785229,0.8708316987053747
