dataset,seed,model,confirm_windows,threshold,positive_units,negative_units,on_time_rate,premature_rate,missed_rate,false_alert_rate,median_detection_delay
cmapss_fd001,5,tcn,2,0.47000000000000003,25,75,0.32,0.6,0.08,0.02666666666666667,5.0
cmapss_fd001,5,tcn,3,0.47000000000000003,25,75,0.4,0.52,0.08,0.02666666666666667,6.0
cmapss_fd001,5,timesnet,1,0.61,25,75,0.32,0.64,0.04,0.02666666666666667,3.0
cmapss_fd001,5,timesnet,2,0.61,25,75,0.44,0.52,0.04,0.013333333333333334,1.0
cmapss_fd001,5,timesnet,3,0.61,25,75,0.52,0.4,0.08,0.013333333333333334,2.0
cmapss_fd003,1,full,1,0.64,20,80,0.1,0.9,0.0,0.075,3.0
cmapss_fd003,1,full,2,0.64,20,80,0.2,0.8,0.0,0.0625,1.5
cmapss_fd003,1,full,3,0.64,20,80,0.25,0.75,0.0,0.025,1.0
cmapss_fd003,1,proposed_lite,1,0.55,20,80,0.15,0.85,0.0,0.05,3.0
cmapss_fd003,1,proposed_lite,2,0.55,20,80,0.25,0.75,0.0,0.0375,3.0
cmapss_fd003,1,proposed_lite,3,0.55,20,80,0.3,0.7,0.0,0.0375,2.5
cmapss_fd003,1,lstm,1,0.47000000000000003,20,80,0.15,0.85,0.0,0.025,2.0
cmapss_fd003,1,lstm,2,0.47000000000000003,20,80,0.3,0.7,0.0,0.025,0.5
cmapss_fd003,1,lstm,3,0.47000000000000003,20,80,0.4,0.6,0.0,0.025,1.0
cmapss_fd003,1,tcn,1,0.61,20,80,0.5,0.5,0.0,0.025,1.5
cmapss_fd003,1,tcn,2,0.61,20,80,0.55,0.45,0.0,0.0125,2.0
cmapss_fd003,1,tcn,3,0.61,20,80,0.55,0.4,0.05,0.0125,3.0
cmapss_fd003,1,timesnet,1,0.28,20,80,0.05,0.95,0.0,0.0625,2.0
cmapss_fd003,1,timesnet,2,0.28,20,80,0.1,0.9,0.0,0.0375,1.5
cmapss_fd003,1,timesnet,3,0.28,20,80,0.3,0.7,0.0,0.0375,0.5
cmapss_fd003,2,full,1,0.22,20,80,0.05,0.95,0.0,0.05,8.0
cmapss_fd003,2,full,2,0.22,20,80,0.15,0.85,0.0,0.05,0.0
cmapss_fd003,2,full,3,0.22,20,80,0.2,0.8,0.0,0.05,1.0
cmapss_fd003,2,proposed_lite,1,0.38,20,80,0.25,0.75,0.0,0.0875,3.0
cmapss_fd003,2,proposed_lite,2,0.38,20,80,0.3,0.7,0.0,0.0875,4.0
cmapss_fd003,2,proposed_lite,3,0.38,20,80,0.4,0.6,0.0,0.05,3.5
cmapss_fd003,2,lstm,1,0.46,20,80,0.1,0.9,0.0,0.025,1.5
cmapss_fd003,2,lstm,2,0.46,20,80,0.25,0.75,0.0,0.025,0.0
cmapss_fd003,2,lstm,3,0.46,20,80,0.4,0.6,0.0,0.025,1.0
cmapss_fd003,2,tcn,1,0.73,20,80,0.3,0.7,0.0,0.025,3.0
cmapss_fd003,2,tcn,2,0.73,20,80,0.35,0.65,0.0,0.025,3.0
cmapss_fd003,2,tcn,3,0.73,20,80,0.45,0.55,0.0,0.0125,3.0
cmapss_fd003,2,timesnet,1,0.38,20,80,0.1,0.9,0.0,0.025,1.0
cmapss_fd003,2,timesnet,2,0.38,20,80,0.1,0.9,0.0,0.025,2.0
cmapss_fd003,2,timesnet,3,0.38,20,80,0.2,0.8,0.0,0.025,1.0
cmapss_fd003,3,full,1,0.77,20,80,0.2,0.8,0.0,0.025,2.0
cmapss_fd003,3,full,2,0.77,20,80,0.2,0.8,0.0,0.025,3.0
cmapss_fd003,3,full,3,0.77,20,80,0.35,0.65,0.0,0.025,2.0
cmapss_fd003,3,proposed_lite,1,0.34,20,80,0.25,0.75,0.0,0.075,1.0
cmapss_fd003,3,proposed_lite,2,0.34,20,80,0.35,0.65,0.0,0.0625,1.0
cmapss_fd003,3,proposed_lite,3,0.34,20,80,0.4,0.6,0.0,0.0625,2.0
cmapss_fd003,3,lstm,1,0.38,20,80,0.2,0.8,0.0,0.05,1.0
cmapss_fd003,3,lstm,2,0.38,20,80,0.3,0.7,0.0,0.05,1.5
cmapss_fd003,3,lstm,3,0.38,20,80,0.4,0.6,0.0,0.0375,1.5
cmapss_fd003,3,tcn,1,0.72,20,80,0.3,0.7,0.0,0.025,2.0
cmapss_fd003,3,tcn,2,0.72,20,80,0.3,0.7,0.0,0.025,3.0
