dataset,model_type,seed,method,fraction,k,drop_pos,drop_all_abs
cmapss_fd001,full,4,randomized_attn,0.7,21,0.38931623101234436,0.05839100852608681
cmapss_fd001,full,4,randomized_attn,0.8,24,0.46189403533935547,0.048790235072374344
cmapss_fd001,full,4,randomized_attn,0.9,27,0.7468138337135315,0.039781603962183
cmapss_fd001,full,4,randomized_attn,1.0,30,0.8204739093780518,0.0414024256169796
cmapss_fd001,full,5,high,0.1,3,0.11420020461082458,0.021357489749789238
cmapss_fd001,full,5,low,0.1,3,-0.009600813500583172,0.00855822954326868
cmapss_fd001,full,5,random,0.1,3,0.07735337316989899,0.013127709738910198
cmapss_fd001,full,5,high,0.2,6,0.32342809438705444,0.043881408870220184
cmapss_fd001,full,5,low,0.2,6,0.004574101883918047,0.012916368432343006
cmapss_fd001,full,5,random,0.2,6,0.2361152172088623,0.021032512187957764
cmapss_fd001,full,5,high,0.3,9,0.4265226721763611,0.05034157633781433
cmapss_fd001,full,5,low,0.3,9,0.025818979367613792,0.018324991688132286
cmapss_fd001,full,5,random,0.3,9,0.3617658019065857,0.02820662036538124
cmapss_fd001,full,5,high,0.4,12,0.43406981229782104,0.05163687840104103
cmapss_fd001,full,5,low,0.4,12,0.07417850941419601,0.023471206426620483
cmapss_fd001,full,5,random,0.4,12,0.5078228712081909,0.0353316105902195
cmapss_fd001,full,5,high,0.5,15,0.453086793422699,0.05035826563835144
cmapss_fd001,full,5,low,0.5,15,0.1582631766796112,0.02700880542397499
cmapss_fd001,full,5,random,0.5,15,0.6234483122825623,0.039527688175439835
cmapss_fd001,full,5,high,0.6,18,0.5150336027145386,0.04784058406949043
cmapss_fd001,full,5,low,0.6,18,0.2409261167049408,0.02754542976617813
cmapss_fd001,full,5,random,0.6,18,0.7124298214912415,0.04368966445326805
cmapss_fd001,full,5,high,0.7,21,0.6905792951583862,0.048363178968429565
cmapss_fd001,full,5,low,0.7,21,0.3277338147163391,0.02681824006140232
cmapss_fd001,full,5,random,0.7,21,0.7973851561546326,0.0473996102809906
cmapss_fd001,full,5,high,0.8,24,0.8530629277229309,0.04948887228965759
cmapss_fd001,full,5,low,0.8,24,0.4275231957435608,0.029714779928326607
cmapss_fd001,full,5,random,0.8,24,0.8482496738433838,0.0500551275908947
cmapss_fd001,full,5,high,0.9,27,0.9005759358406067,0.052618980407714844
cmapss_fd001,full,5,low,0.9,27,0.8125548958778381,0.047977786511182785
cmapss_fd001,full,5,random,0.9,27,0.885681688785553,0.05176899582147598
cmapss_fd001,full,5,high,1.0,30,0.9033859372138977,0.05245371162891388
cmapss_fd001,full,5,low,1.0,30,0.9033859372138977,0.05245371162891388
cmapss_fd001,full,5,random,1.0,30,0.9033859372138977,0.05245371162891388
cmapss_fd001,full,5,randomized_attn,0.1,3,0.1076648011803627,0.026588914915919304
cmapss_fd001,full,5,randomized_attn,0.2,6,0.2938758134841919,0.04730970039963722
cmapss_fd001,full,5,randomized_attn,0.3,9,0.3704998791217804,0.05303218960762024
cmapss_fd001,full,5,randomized_attn,0.4,12,0.3738424777984619,0.05622101202607155
cmapss_fd001,full,5,randomized_attn,0.5,15,0.38924914598464966,0.060028281062841415
cmapss_fd001,full,5,randomized_attn,0.6,18,0.4254157841205597,0.06427165865898132
cmapss_fd001,full,5,randomized_attn,0.7,21,0.4907626509666443,0.06364769488573074
cmapss_fd001,full,5,randomized_attn,0.8,24,0.6294949054718018,0.057113103568553925
cmapss_fd001,full,5,randomized_attn,0.9,27,0.841947615146637,0.049724724143743515
cmapss_fd001,full,5,randomized_attn,1.0,30,0.9033859372138977,0.05245371162891388
cmapss_fd001,softmax,1,high,0.1,3,0.27051565051078796,0.020329667255282402
cmapss_fd001,softmax,1,low,0.1,3,-0.0636337623000145,0.012044287286698818
cmapss_fd001,softmax,1,random,0.1,3,0.09556882828474045,0.013775959610939026
cmapss_fd001,softmax,1,high,0.2,6,0.49308860301971436,0.030837520956993103
cmapss_fd001,softmax,1,low,0.2,6,-0.09965328127145767,0.024856943637132645
cmapss_fd001,softmax,1,random,0.2,6,0.16698332130908966,0.018840186297893524
cmapss_fd001,softmax,1,high,0.3,9,0.655275821685791,0.036909569054841995
cmapss_fd001,softmax,1,low,0.3,9,-0.10842234641313553,0.0362289622426033
cmapss_fd001,softmax,1,random,0.3,9,0.2894720137119293,0.025600513443350792
cmapss_fd001,softmax,1,high,0.4,12,0.728193998336792,0.03970959037542343
cmapss_fd001,softmax,1,low,0.4,12,-0.10773449391126633,0.04604865610599518
cmapss_fd001,softmax,1,random,0.4,12,0.3621247410774231,0.028918853029608727
cmapss_fd001,softmax,1,high,0.5,15,0.709168016910553,0.04018290713429451
cmapss_fd001,softmax,1,low,0.5,15,-0.10650988668203354,0.05357425659894943
cmapss_fd001,softmax,1,random,0.5,15,0.4786092936992645,0.0327516533434391
cmapss_fd001,softmax,1,high,0.6,18,0.6626046299934387,0.039618849754333496
cmapss_fd001,softmax,1,low,0.6,18,-0.10766546428203583,0.056700464338064194
cmapss_fd001,softmax,1,random,0.6,18,0.5335431694984436,0.03533308953046799
cmapss_fd001,softmax,1,high,0.7,21,0.6615692973136902,0.03871818259358406
cmapss_fd001,softmax,1,low,0.7,21,-0.10468200594186783,0.05440831556916237
cmapss_fd001,softmax,1,random,0.7,21,0.6788089275360107,0.03920400142669678
cmapss_fd001,softmax,1,high,0.8,24,0.7686804533004761,0.042084891349077225
cmapss_fd001,softmax,1,low,0.8,24,-0.027502531185746193,0.0435803085565567
cmapss_fd001,softmax,1,random,0.8,24,0.7541599273681641,0.04143190011382103
cmapss_fd001,softmax,1,high,0.9,27,0.8382406830787659,0.04508763179183006
cmapss_fd001,softmax,1,low,0.9,27,0.6210189461708069,0.03588833287358284
cmapss_fd001,softmax,1,random,0.9,27,0.8285728096961975,0.04417557269334793
cmapss_fd001,softmax,1,high,1.0,30,0.8409878015518188,0.04499319568276405
cmapss_fd001,softmax,1,low,1.0,30,0.8409878015518188,0.04499319568276405
cmapss_fd001,softmax,1,random,1.0,30,0.8409878015518188,0.04499319568276405
