model,family,seed,n,pos,neg,accuracy,precision,recall,f1,f2,auc_roc,auc_pr,brier,ece,threshold,dataset
proposed_lite,proposed/ablation,2,800,177,623,0.71625,0.4038461538461538,0.5932203389830508,0.4805491990846682,0.5423553719008265,0.683806259125246,0.4754259473643705,0.216985198456355,0.1812356746569275,0.76,xjtu
proposed_lite,proposed/ablation,3,800,177,623,0.70375,0.3888888888888889,0.5932203389830508,0.4697986577181208,0.5368098159509203,0.6688068485821296,0.4700169362086328,0.2569065824158291,0.2866886119544506,0.77,xjtu
proposed_lite,proposed/ablation,4,800,177,623,0.61875,0.3202247191011236,0.6440677966101694,0.4277673545966229,0.5357142857142857,0.6375293594870819,0.4144971962763232,0.3766706007216781,0.433334884867072,0.8,xjtu
proposed_lite,proposed/ablation,5,800,177,623,0.71,0.3938223938223938,0.576271186440678,0.4678899082568807,0.5274043433298863,0.6651431473370151,0.4581915241760158,0.2232244523912979,0.1927798669878393,0.76,xjtu
proposed_lite,proposed/ablation,6,800,177,623,0.71375,0.4037037037037037,0.615819209039548,0.4876957494407158,0.5572597137014315,0.6696411567864624,0.4262438632503145,0.2141371713317665,0.22902677167207,0.7100000000000001,xjtu
proposed_lite,proposed/ablation,7,800,177,623,0.73,0.419753086419753,0.576271186440678,0.4857142857142857,0.5362776025236593,0.6644357990768197,0.3941957244107366,0.2635850173884881,0.2584965079650283,0.86,xjtu
proposed_lite,proposed/ablation,8,800,177,623,0.72,0.4078431372549019,0.5875706214689266,0.4814814814814814,0.5399792315680166,0.655140517452458,0.4658990188584545,0.2658917880054532,0.2412848206982016,0.7100000000000001,xjtu
proposed_lite,proposed/ablation,9,800,177,623,0.74,0.4329004329004329,0.5649717514124294,0.4901960784313725,0.5324813631522897,0.6691423855773503,0.4160050627097284,0.2653553602471247,0.2879606519639491,0.88,xjtu
proposed_lite,proposed/ablation,10,800,177,623,0.70125,0.3825757575757575,0.5706214689265536,0.4580498866213152,0.5195473251028807,0.6494771970871761,0.3897253916997246,0.2586543980065358,0.2705998466536403,0.8300000000000001,xjtu
lstm,deep baseline,1,800,177,623,0.71875,0.4154929577464789,0.6666666666666666,0.5119305856832972,0.594758064516129,0.71924622067452,0.4236269273126269,0.2318721719066404,0.1967081360332667,0.9,xjtu
lstm,deep baseline,2,800,177,623,0.77125,0.2,0.0112994350282485,0.0213903743315508,0.0139275766016713,0.6350808462787133,0.3216936086382823,0.3218867635500252,0.3685528751462697,0.9,xjtu
lstm,deep baseline,3,800,177,623,0.7175,0.4146341463414634,0.672316384180791,0.5129310344827587,0.5979899497487438,0.6965158563901661,0.5021457994715571,0.2411558644568953,0.2331840539257973,0.86,xjtu
lstm,deep baseline,4,800,177,623,0.72,0.4175438596491228,0.672316384180791,0.5151515151515151,0.5991943605236657,0.6931242121682039,0.4855093800094287,0.2479989360624948,0.2432996810786426,0.91,xjtu
lstm,deep baseline,5,800,177,623,0.71375,0.4078014184397163,0.6497175141242938,0.5010893246187363,0.5808080808080808,0.6662177725784659,0.355588718193133,0.2884532754149701,0.3040341436117887,0.88,xjtu
lstm,deep baseline,6,800,177,623,0.6725,0.3700305810397553,0.6836158192090396,0.4801587301587302,0.5845410628019324,0.6215324065257412,0.3945897331168846,0.3770416935307931,0.3513218161650002,0.89,xjtu
lstm,deep baseline,7,800,177,623,0.7225,0.4210526315789473,0.6779661016949152,0.5194805194805194,0.6042296072507553,0.6674647006012461,0.4481509014915732,0.2575357037512441,0.2990198304876685,0.91,xjtu
