dataset,model,kind,seed,params,units_1,units_2,channels,threshold,f2,auc_roc,auc_pr,brier,ece
cmapss_fd003,matched_tcn,tcn,2,8992,0,0,17,0.49,0.8883248730964467,0.9982693537698787,0.9355528865535488,0.0076169323060642675,0.008905930946571274
cmapss_fd003,matched_tcn,tcn,3,8992,0,0,17,0.35000000000000003,0.9076227390180879,0.9986477323561116,0.9525367811251642,0.0051982571927846445,0.006319465575207712
cmapss_fd003,matched_tcn,tcn,4,8992,0,0,17,0.45,0.909387222946545,0.9986267113235432,0.953381193144316,0.005173944421009973,0.006606139542901329
cmapss_fd003,matched_tcn,tcn,5,8992,0,0,17,0.37,0.8999370673379484,0.9982808897023858,0.9401231939460238,0.006835456576955827,0.008723623395611033
cmapss_fd003,matched_tcn,tcn,6,8992,0,0,17,0.65,0.8895311496467566,0.998068628544255,0.9384806345893923,0.00908947751334069,0.016539945225797104
cmapss_fd003,matched_tcn,tcn,7,8992,0,0,17,0.65,0.9099868593955321,0.9984298314087553,0.9429352383166624,0.006758239498383277,0.009322686152037046
cmapss_fd003,matched_tcn,tcn,8,8992,0,0,17,0.6900000000000001,0.9001956947162426,0.9983106267728485,0.9409725943236805,0.008225622823414974,0.011959673337344687
cmapss_fd003,matched_tcn,tcn,9,8992,0,0,17,0.67,0.9169329073482428,0.9990719983183174,0.961294377701296,0.008306033150661718,0.013289862025690168
cmapss_fd003,matched_tcn,tcn,10,8992,0,0,17,0.36000000000000004,0.89171974522293,0.9960895752341473,0.9389258378000803,0.005833534451458128,0.007229406690291577
xjtu,matched_lstm,lstm,1,21749,38,37,0,0.85,0.5818540433925049,0.6809814003681839,0.5653850644978116,0.3222326936909674,0.31772452187724415
xjtu,matched_lstm,lstm,2,21749,38,37,0,0.89,0.5708460754332314,0.6529549926998031,0.35570956035084156,0.2545956345861549,0.28115870781242847
xjtu,matched_lstm,lstm,3,21749,38,37,0,0.8300000000000001,0.5682903533906399,0.6378014165102338,0.4634398985091197,0.3659835286143154,0.3939367196708918
xjtu,matched_lstm,lstm,4,21749,38,37,0,0.78,0.6012024048096193,0.678795875615529,0.42196719924598103,0.2363070690259951,0.20684009863063696
xjtu,matched_lstm,lstm,5,21749,38,37,0,0.88,0.5831643002028397,0.6785283528760961,0.47098409113213935,0.2337623462494198,0.19144555010832848
xjtu,matched_lstm,lstm,6,21749,38,37,0,0.93,0.5606995884773662,0.6699630909305256,0.34239391561895216,0.24089353169931896,0.23187717121094464
xjtu,matched_lstm,lstm,7,21749,38,37,0,0.51,0.6150793650793651,0.6499578311614115,0.438750165618459,0.28193895662275453,0.34783480614423756
xjtu,matched_lstm,lstm,8,21749,38,37,0,0.87,0.568075117370892,0.6630573768261827,0.4548806178031087,0.33502933328150414,0.31439314922317857
xjtu,matched_lstm,lstm,9,21749,38,37,0,0.93,0.4508670520231214,0.6800292007871517,0.4872149097453227,0.25509948450945447,0.24624178927391766
xjtu,matched_lstm,lstm,10,21749,38,37,0,0.88,0.5823293172690763,0.6476136064785847,0.37021481549162205,0.2746328347000826,0.30917718745768064
xjtu,matched_gru,gru,1,21726,48,39,0,0.92,0.6012332990750257,0.668162980294003,0.3706312098127359,0.22906397407822987,0.1880536531470716
xjtu,matched_gru,gru,2,21726,48,39,0,0.85,0.6141248720573184,0.6846269644784215,0.5128587424645442,0.21132957182719486,0.16464120542630553
xjtu,matched_gru,gru,3,21726,48,39,0,0.91,0.5952380952380952,0.661932874463821,0.3840464465283964,0.2902138998238734,0.36579706236720083
xjtu,matched_gru,gru,4,21726,48,39,0,0.89,0.6268958543983822,0.7661851257356875,0.33892267966899664,0.22182112040998028,0.2472920284885913
xjtu,matched_gru,gru,5,21726,48,39,0,0.78,0.62058526740666,0.6918727498617043,0.6217960626559671,0.28769517310595133,0.3822170865163207
xjtu,matched_gru,gru,6,21726,48,39,0,0.8,0.6237322515212982,0.6912062101549818,0.5388452041089424,0.21279154028048267,0.1958261298108846
xjtu,matched_gru,gru,7,21726,48,39,0,0.92,0.6006674082313682,0.7914954974562669,0.5937687795088256,0.23934234620954287,0.23280080795288088
xjtu,matched_gru,gru,8,21726,48,39,0,0.9,0.6243602865916069,0.688317871425851,0.4863170607790547,0.22469177275858349,0.20352013904601335
xjtu,matched_gru,gru,9,21726,48,39,0,0.8,0.6230847803881512,0.7707647522920804,0.624334373136965,0.21791902446103933,0.20416436857543885
xjtu,matched_gru,gru,10,21726,48,39,0,0.9,0.6243654822335025,0.6876785374214435,0.5435759612426205,0.23478592877994447,0.2298982087522745
xjtu,matched_tcn,tcn,1,20833,0,0,26,0.06999999999999999,0.5908683974932856,0.728024593954893,0.7220410495033419,0.25102971849431316,0.24182138494215905
xjtu,matched_tcn,tcn,2,20833,0,0,26,0.85,0.6570841889117043,0.7154827651875834,0.6659422809427035,0.2332971448774107,0.293604945205152
xjtu,matched_tcn,tcn,3,20833,0,0,26,0.08,0.5210819411296739,0.6871888347797698,0.5542184144614106,0.20136653730594176,0.1658207041583955
xjtu,matched_tcn,tcn,4,20833,0,0,26,0.92,0.6065400843881856,0.772560328644884,0.6919769239455338,0.2676290745503428,0.278159786304459
xjtu,matched_tcn,tcn,5,20833,0,0,26,0.81,0.6578947368421053,0.865558487725694,0.7684133952014081,0.24615970374086046,0.23945083694532512
xjtu,matched_tcn,tcn,6,20833,0,0,26,0.67,0.6543456543456544,0.8514477967915408,0.7384127649990306,0.22374231688069954,0.22832507591228932
xjtu,matched_tcn,tcn,7,20833,0,0,26,0.3,0.6982942430703625,0.8575554769613044,0.6243556708885609,0.17457594904212279,0.13977800572989507
xjtu,matched_tcn,tcn,8,20833,0,0,26,0.32,0.676923076923077,0.8479926725975098,0.7044838934733257,0.1875544560699688,0.1678959768638015
xjtu,matched_tcn,tcn,9,20833,0,0,26,0.97,0.6798715203426124,0.8081181815708574,0.7477134710696295,0.22663097789480646,0.23747122476110236
xjtu,matched_tcn,tcn,10,20833,0,0,26,0.75,0.6342913776015857,0.697055436152751,0.6537328078888595,0.3092023843774731,0.3674402871727943
ur3,matched_lstm,lstm,1,24353,38,38,0,0.28,0.747016706443914,0.8465007551232353,0.7579464175875853,0.18523298355249118,0.19317384724710002
ur3,matched_lstm,lstm,2,24353,38,38,0,0.08,0.734375,0.8526539633508451,0.7791106427633735,0.16739070028698624,0.1427641037210875
ur3,matched_lstm,lstm,3,24353,38,38,0,0.44,0.7615546218487395,0.8625942001970548,0.7812036418164597,0.16588013359573067,0.16390044204494417
ur3,matched_lstm,lstm,4,24353,38,38,0,0.28,0.7117903930131004,0.8345043766714472,0.7543120403243375,0.18415831769476101,0.21900058693602575
ur3,matched_lstm,lstm,5,24353,38,38,0,0.26,0.7224334600760456,0.8246744600963972,0.7440070636955658,0.19089738980931037,0.21246496397764125
ur3,matched_lstm,lstm,6,24353,38,38,0,0.14,0.7643622200584226,0.8683993289484196,0.7914755344144513,0.16720594306334335,0.14166173935993343
ur3,matched_lstm,lstm,7,24353,38,38,0,0.3,0.7447329740323371,0.8218327620772164,0.735227462694666,0.18409196485293033,0.20326095552626233
ur3,matched_lstm,lstm,8,24353,38,38,0,0.18000000000000002,0.7384926656550329,0.83894001240152,0.7650608221550286,0.16293610911028594,0.1174001082883659
ur3,matched_lstm,lstm,9,24353,38,38,0,0.26,0.7412653446647781,0.8297758216007091,0.7278223552204783,0.19158087078325106,0.20160839608903475
ur3,matched_lstm,lstm,10,24353,38,38,0,0.17,0.729497054825555,0.7944581182405057,0.5795252272622061,0.21276302520496712,0.20609587411138608
ur3,matched_gru,gru,1,24270,49,39,0,0.19,0.7506361323155216,0.8583639884201757,0.7785432844540009,0.17667000386629528,0.15748122950738416
ur3,matched_gru,gru,2,24270,49,39,0,0.25,0.7543769309989702,0.8359879941111801,0.7329576388699219,0.1719548282186645,0.14125261223273922
ur3,matched_gru,gru,3,24270,49,39,0,0.19,0.7315270935960592,0.8299584206702146,0.7428056316415584,0.18826429708966413,0.16905992225816488
ur3,matched_gru,gru,4,24270,49,39,0,0.18000000000000002,0.7211538461538461,0.8024696524150629,0.6655613970922758,0.194795583018355,0.16722847762392135
ur3,matched_gru,gru,5,24270,49,39,0,0.16,0.7559015570065294,0.850554074051531,0.7710406181330673,0.18122459056222084,0.15698899999789312
ur3,matched_gru,gru,6,24270,49,39,0,0.18000000000000002,0.7439271255060729,0.8450837102609265,0.7385778996524692,0.1684359918277884,0.12797764771624554
ur3,matched_gru,gru,7,24270,49,39,0,0.42000000000000004,0.7172509225092251,0.8087655161657239,0.7242124989585101,0.2225089805791073,0.28528357664427006
ur3,matched_gru,gru,8,24270,49,39,0,0.47000000000000003,0.7364544976328248,0.8327183295228457,0.7490605760004748,0.21964651459790033,0.2200204047030961
ur3,matched_gru,gru,9,24270,49,39,0,0.16,0.7675753228120517,0.8647587600001522,0.764934030452509,0.1736811746205289,0.18445503359647294
ur3,matched_gru,gru,10,24270,49,39,0,0.08,0.7565632458233891,0.8698487090626201,0.7738333013808382,0.14860837760314716,0.10915463810112881
ur3,matched_tcn,tcn,1,23496,0,0,27,0.27,0.7424015944195317,0.8406556828254164,0.7172758360636337,0.1938654077615502,0.1909540673017713
ur3,matched_tcn,tcn,2,23496,0,0,27,0.45,0.7180094786729858,0.8119590978084308,0.6948283351150959,0.249505912455795,0.31827473365668707
ur3,matched_tcn,tcn,3,23496,0,0,27,0.33,0.7226654152979821,0.76442437545412,0.6055115724611331,0.2235605905808913,0.2394226095143785
ur3,matched_tcn,tcn,4,23496,0,0,27,0.13,0.7262065854758682,0.8353983512825682,0.7105166185993778,0.21801445633758382,0.21890236296301296
ur3,matched_tcn,tcn,5,23496,0,0,27,0.29000000000000004,0.7338991512730904,0.8140951265069178,0.682320500735511,0.22356614628108212,0.21499949108465766
ur3,matched_tcn,tcn,6,23496,0,0,27,0.46,0.7172509225092251,0.7960862932769306,0.6517909838478585,0.26032478961650884,0.2937106494098268
ur3,matched_tcn,tcn,7,23496,0,0,27,0.18000000000000002,0.731948565776459,0.8059238181465433,0.6623211652904614,0.2076791137569026,0.17728082264331002
ur3,matched_tcn,tcn,8,23496,0,0,27,0.18000000000000002,0.7413793103448276,0.8527034172655028,0.7274434381066214,0.23776872810510857,0.2410292747952308
ur3,matched_tcn,tcn,9,23496,0,0,27,0.36000000000000004,0.7222762645914397,0.7639868985167629,0.5940014472624805,0.20124292100408936,0.1706153569835509
ur3,matched_tcn,tcn,10,23496,0,0,27,0.28,0.6794258373205742,0.7532401824469036,0.5766662398039185,0.23202657133553037,0.20765450706454458
