dataset,model,uncertainty,replicate,seed,target_coverage,actual_coverage,risk,n_kept,n_test_windows
cmapss_fd001,proposed_lite,seed_ensemble,ensemble,0,0.7,0.866614358571989,0.0004526935264825713,8836,10196
cmapss_fd001,proposed_lite,seed_ensemble,ensemble,0,0.75,0.8932914868575912,0.0005489679402722881,9108,10196
cmapss_fd001,proposed_lite,seed_ensemble,ensemble,0,0.8,0.9143781875245194,0.0010726161106939826,9323,10196
cmapss_fd001,proposed_lite,seed_ensemble,ensemble,0,0.85,0.932718713220871,0.00241850683491062,9510,10196
cmapss_fd001,proposed_lite,seed_ensemble,ensemble,0,0.9,0.9540015692428403,0.0056543641410506836,9727,10196
cmapss_fd001,proposed_lite,seed_ensemble,ensemble,0,0.95,0.9784229109454688,0.012329591018444266,9976,10196
cmapss_fd001,proposed_lite,seed_ensemble,ensemble,0,1.0,1.0,0.019713613181639857,10196,10196
cmapss_fd003,full,mc_dropout,seed,1,0.5,0.7188230140186916,0.0,9845,13696
cmapss_fd003,full,mc_dropout,seed,1,0.55,0.7576664719626168,0.0,10377,13696
cmapss_fd003,full,mc_dropout,seed,1,0.6,0.8044684579439252,0.0,11018,13696
cmapss_fd003,full,mc_dropout,seed,1,0.65,0.846232476635514,0.0,11590,13696
cmapss_fd003,full,mc_dropout,seed,1,0.7,0.8833235981308412,0.0,12098,13696
cmapss_fd003,full,mc_dropout,seed,1,0.75,0.9114339953271028,8.010894816951053e-05,12483,13696
cmapss_fd003,full,mc_dropout,seed,1,0.8,0.9299795560747663,0.00015702284682421293,12737,13696
cmapss_fd003,full,mc_dropout,seed,1,0.85,0.9447283878504673,0.0006182858026122575,12939,13696
cmapss_fd003,full,mc_dropout,seed,1,0.9,0.9660484813084113,0.002267402312750359,13231,13696
cmapss_fd003,full,mc_dropout,seed,1,0.95,0.9845940420560748,0.005635891731553578,13485,13696
cmapss_fd003,full,mc_dropout,seed,1,1.0,1.0,0.010587032710280374,13696,13696
cmapss_fd003,full,confidence,seed,1,0.5,0.717508761682243,0.0,9827,13696
cmapss_fd003,full,confidence,seed,1,0.55,0.766866238317757,0.0,10503,13696
cmapss_fd003,full,confidence,seed,1,0.6,0.814982476635514,0.0,11162,13696
cmapss_fd003,full,confidence,seed,1,0.65,0.8511244158878505,0.0,11657,13696
cmapss_fd003,full,confidence,seed,1,0.7,0.884929906542056,0.0,12120,13696
cmapss_fd003,full,confidence,seed,1,0.75,0.9141355140186916,0.0,12520,13696
cmapss_fd003,full,confidence,seed,1,0.8,0.9307096962616822,0.00015689966266572527,12747,13696
cmapss_fd003,full,confidence,seed,1,0.85,0.9467727803738317,0.0006940695611937996,12967,13696
cmapss_fd003,full,confidence,seed,1,0.9,0.9661214953271028,0.0018137847642079807,13232,13696
cmapss_fd003,full,confidence,seed,1,0.95,0.9837908878504673,0.0047498886744841914,13474,13696
cmapss_fd003,full,confidence,seed,1,1.0,1.0,0.010587032710280374,13696,13696
cmapss_fd003,full,mc_dropout,seed,2,0.5,0.7475905373831776,0.0005859947260474656,10239,13696
cmapss_fd003,full,mc_dropout,seed,2,0.55,0.7809579439252337,0.0005609573672400897,10696,13696
cmapss_fd003,full,mc_dropout,seed,2,0.6,0.8138872663551402,0.0005382614156275231,11147,13696
cmapss_fd003,full,mc_dropout,seed,2,0.65,0.842508761682243,0.0005199757344657249,11539,13696
cmapss_fd003,full,mc_dropout,seed,2,0.7,0.8722984813084113,0.0005859211517535783,11947,13696
