dataset,model,miss_cost,fp_cost,explain_cost,missed,false_alarms,detected,total_cost
cmapss_fd001,full_mc,50,2.0,2.0,1,2,24,106.0
cmapss_fd001,full_mc,50,2.0,5.0,1,2,24,184.0
cmapss_fd001,lite_mc,50,2.0,0.0,4,2,21,204.0
cmapss_fd001,lite_mc,50,2.0,0.25,4,2,21,209.75
cmapss_fd001,lite_mc,50,2.0,0.5,4,2,21,215.5
cmapss_fd001,lite_mc,50,2.0,1.0,4,2,21,227.0
cmapss_fd001,lite_mc,50,2.0,2.0,4,2,21,250.0
cmapss_fd001,lite_mc,50,2.0,5.0,4,2,21,319.0
cmapss_fd001,lite_no_attn_mc,50,2.0,0.0,1,3,24,56.0
cmapss_fd001,lite_no_attn_mc,50,2.0,0.25,1,3,24,56.0
cmapss_fd001,lite_no_attn_mc,50,2.0,0.5,1,3,24,56.0
cmapss_fd001,lite_no_attn_mc,50,2.0,1.0,1,3,24,56.0
cmapss_fd001,lite_no_attn_mc,50,2.0,2.0,1,3,24,56.0
cmapss_fd001,lite_no_attn_mc,50,2.0,5.0,1,3,24,56.0
cmapss_fd001,lite_no_mc,50,2.0,0.0,4,2,21,204.0
cmapss_fd001,lite_no_mc,50,2.0,0.25,4,2,21,209.75
cmapss_fd001,lite_no_mc,50,2.0,0.5,4,2,21,215.5
cmapss_fd001,lite_no_mc,50,2.0,1.0,4,2,21,227.0
cmapss_fd001,lite_no_mc,50,2.0,2.0,4,2,21,250.0
cmapss_fd001,lite_no_mc,50,2.0,5.0,4,2,21,319.0
cmapss_fd001,matched_tcn,50,5.0,0.0,2,2,23,110.0
cmapss_fd001,matched_tcn,50,5.0,0.25,2,2,23,110.0
cmapss_fd001,matched_tcn,50,5.0,0.5,2,2,23,110.0
cmapss_fd001,matched_tcn,50,5.0,1.0,2,2,23,110.0
cmapss_fd001,matched_tcn,50,5.0,2.0,2,2,23,110.0
cmapss_fd001,matched_tcn,50,5.0,5.0,2,2,23,110.0
cmapss_fd001,full_mc,50,5.0,0.0,1,2,24,60.0
